priority,ipa,word,concept,representationType,homophoneGroup,productivity,assetExists,assetStatus,needsProduction,source
P2,sitʁɔ̃,citron,citron,IMAGE,citron,0,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
P2,so,saut,saut,IMAGE,saut | seau,0,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
P2,so,seau,seau,IMAGE,saut | seau,0,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
P2,sɔl,sol,sol,IMAGE,sol | sole,0,true,LEGACY_RUNTIME_ASSET,false,data/rebus-productive-bank-wave4.json
P2,sɔlɛj,soleil,soleil,IMAGE,soleil,0,true,ASSET_INDIVIDUEL_CANONIQUE,false,data/rebus-fragment-representation-ideas.json
P2,stad,stade,stade,IMAGE,stade,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,stilo,stylo,stylo,IMAGE,stylo,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,suʁi,souris,souris,IMAGE,souris | sourit,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,ʃa,chat,chat,IMAGE,chat,0,true,ASSET_INDIVIDUEL_CANONIQUE,false,data/rebus-fragment-representation-ideas.json
P2,ʃapo,chapeau,chapeau,IMAGE,chapeau,0,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
P2,ʃəval,cheval,cheval,IMAGE,cheval | chevale,0,true,ASSET_INDIVIDUEL_CANONIQUE,false,data/rebus-productive-bank-wave4.json
P2,ʃɛn,chaine,chaine,IMAGE,chaine | chaîne | chêne,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,ʃɛn,chaîne,chaîne,IMAGE,chaine | chaîne | chêne,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,ʃɛvʁ,chèvre,chèvre,IMAGE,chevre | chèvre | chevres,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,ʃɛz,chaise,chaise,IMAGE,chaise,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,ʃjɛ̃,chien,chien,IMAGE,chien,0,true,ASSET_EXISTANT_À_RÉCUPÉRER,false,data/rebus-productive-bank-wave4.json
P2,ʃosɛt,chaussette,chaussette,IMAGE,chaussette,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave5.json
P2,ʃosyʁ,chaussure,chaussure,IMAGE,chaussure,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,taksi,taxi,taxi,IMAGE,taxi,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,talɔ̃,talon,talon,IMAGE,tallons | talon | talons,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave5.json
P2,taʁt,tarte,tarte,IMAGE,tarte | tartent,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,te,thé,thé,IMAGE,thé,0,true,LEGACY_RUNTIME_ASSET,false,data/rebus-fragment-representation-ideas.json
P2,tɛʁ,terre,terre,IMAGE,terre,0,true,LEGACY_RUNTIME_ASSET,false,data/rebus-fragment-representation-ideas.json
P2,tɔʁty,tortue,tortue,IMAGE,tortu | tortue,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave5.json
P2,tʁaktœʁ,tracteur,tracteur,IMAGE,tracteur,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave5.json
P2,tʁɛ̃,train,train,IMAGE,train,0,true,ASSET_INDIVIDUEL_CANONIQUE,false,data/rebus-productive-bank-wave4.json
P2,uʁs,ours,ours,IMAGE,ours,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,vag,vague,vague,IMAGE,vague,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,vaʃ,vache,vache,IMAGE,vache,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave5.json
P2,velo,vélo,vélo,IMAGE,vélo,0,true,ASSET_EXISTANT_À_RÉCUPÉRER,false,data/rebus-fragment-representation-ideas.json
P2,vɛʁ,verre,verre,IMAGE,verre | vert,0,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
P2,vɔlkɑ̃,volcan,volcan,IMAGE,volcan,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave5.json
P2,vwatyʁ,voiture,voiture,IMAGE,voiture,0,true,ASSET_INDIVIDUEL_CANONIQUE,false,data/rebus-productive-bank-wave4.json
